iv,type,B_D,W_D,theta_D,dfcom,T_D,gamma_D,nu,nu2,nu_improved,L,U,sqrt_T_D,RR,lci,uci,model
residence,Conditional,0.001074969439663305,0.00695613896533348,-0.06454219540056365,6480,0.008138605348963115,0.14529103365115076,22.70352064472951,426.34864045596674,395.86591944992597,-0.24186218592457825,0.11277779512345092,0.09021421921716728,"0.94 (0.79, 1.12)",0.7851643767986113,1.119383172912015,W7
w_bmi,Conditional,5.784381213239255e-10,1.4937017968178744e-7,5.184246190025278e-4,6480,1.5000646161524376e-7,0.004241696834955933,5391.438050922409,500222.54234848375,6368.400727534522,-2.4068435457221958e-4,0.001277533592577275,3.8730667644031616e-4,"1.00 (1.00, 1.00)",0.9997593446075834,1.0012783499862372,W7
w_education_2,Conditional,2.7576815503121732e-5,0.006584771202015366,-0.07839955737543138,6480,0.0066151056990688,0.00458564056772427,4640.554081104722,427998.7373941439,6352.586097468689,-0.2378103470497019,0.08101123229883912,0.08133330006257461,"0.92 (0.79, 1.08)",0.7883521902355978,1.084383076613128,W7
w_education_3,Conditional,3.422928141989368e-4,0.07827874556160963,0.1528437374163012,6480,0.07865526765722847,0.004786991473472253,4273.21626228161,392750.9114689549,6342.872782629546,-0.3968405665791793,0.7025280414117817,0.2804554646592369,"1.17 (0.67, 2.02)",0.6724412266917867,2.0188499980741876,W7
w_ge65,Conditional,6.79787148129647e-5,0.0030203929261061547,0.1958311068328598,6480,0.003095169512400416,0.024159124724729284,228.5438982704504,15419.848883577964,4483.463946312672,0.08678142538965028,0.30488078827606935,0.055634247657359547,"1.22 (1.09, 1.36)",1.0906582634583963,1.3564632870402993,W7
w_heavydrinker,Conditional,1.4065480252071095e-4,0.015495561263017208,0.23608006298392595,6480,0.01565028154578999,0.009886102196953935,1092.01366603485,92085.72637130988,5996.3039411223135,-0.009116781490696696,0.48127690745854856,0.1251010853102002,"1.27 (0.99, 1.62)",0.9909246503577099,1.6181392977103002,W7
w_hukou,Conditional,4.5841021318912084e-4,0.005900509961424811,0.0896678990284539,6480,0.006404761195932844,0.07873068473313931,42.38606874696565,1451.9593316946805,1167.8350526713357,-0.06731839560282082,0.24665419365972863,0.08002975194221737,"1.09 (0.93, 1.28)",0.9348974866949233,1.2797364952587713,W7
w_laborforceother,Conditional,3.852278143389794e-4,0.008133343353312679,0.04178354727498681,6480,0.008557093949085557,0.049520386043928034,76.70450990941958,3670.0710009658114,2299.455452240606,-0.13958187496686866,0.22314896951684227,0.09250456177446362,"1.04 (0.87, 1.25)",0.8697218118446948,1.2500067727716389,W7
w_laborforceretired,Conditional,1.9261433751983532e-4,0.0018761890912992283,0.25040359412588814,6480,0.0020880648625710473,0.10146991842529973,31.99645897332071,874.1136194505101,759.9839223296942,0.16071817473510494,0.3400890135166713,0.04569534836907415,"1.28 (1.17, 1.41)",1.174353959556944,1.405072655455519,W7
w_moderate_pa,Conditional,2.7640865739228793e-5,3.444610882300102e-5,-0.005353667911554436,6480,6.485106113615269e-5,0.46884278808202484,11.154753916629119,40.94378892093303,40.46231291885914,-0.021617741066260132,0.010910405243151258,0.0080530156547813,"0.99 (0.98, 1.01)",0.9786142476006671,1.0109701407630152,W7
w_smokeformer,Conditional,8.775696230693983e-5,0.01033459399435189,0.13314423205494388,6480,0.010431126652889524,0.009254288798314352,1233.2319217189024,105088.79510350528,6048.6448399577,-0.06703485411366653,0.3333233182235542,0.1021328872248774,"1.14 (0.94, 1.40)",0.9351626065049641,1.3955984479444346,W7
w_smokenever,Conditional,7.527619531711027e-5,0.006375186817608285,0.1373594532976559,6480,0.006457990632457106,0.012821916221534762,681.0763115448826,54744.01420636652,5726.05006480714,-0.02014991818964118,0.2948688247849529,0.08036162412779564,"1.15 (0.98, 1.34)",0.9800517347108239,1.3429501853523809,W7
w_vigorous_pa,Conditional,5.110366582709019e-5,6.316666983024811e-5,-0.011714243523140927,6480,1.1938070224004732e-4,0.47088039653817443,11.136266166164997,40.59020908925081,40.11516381651337,-0.033786813747297875,0.010358326701016022,0.010926147639495237,"0.99 (0.97, 1.01)",0.9667775863606636,1.010412159880369,W7
(Intercept),Conditional,0.004398577130677276,0.02306790588224175,-0.7708944437956337,6480,0.027906340725986755,0.17338120003814722,19.627481922250237,299.39083419337527,283.5381185511636,-1.0996391102639504,-0.44214977732731686,0.16705191027338404,"0.46 (0.33, 0.64)",0.33299123513502,0.6426533733421198,H7
h_bmi,Conditional,1.0148903579896073e-8,1.2819399883074814e-6,0.0025114525881451163,6480,1.2931037822453671e-6,0.008633331748903156,1402.4306812825425,120749.58592002894,6097.764226936189,2.82662666237729e-4,0.004740242510052504,0.00113714721221369,"1.00 (1.00, 1.00)",1.0002827026190935,1.0047514952327654,H7
h_education_2,Conditional,6.122541626736716e-5,0.0032643714556467784,-0.03476449385479019,6480,0.0033317194135408824,0.02021417458516648,307.6891714368067,22025.73880968733,4927.204231422741,-0.14790188676908417,0.07837289905950375,0.05772104827132718,"0.97 (0.86, 1.08)",0.8625157349962803,1.081525883469111,H7
h_education_3,Conditional,2.545054584922918e-4,0.00949260010574505,0.0325570981122184,6480,0.009772556110086572,0.028647162644844713,173.5079410703537,10966.78380083482,3998.3096805393416,-0.16121895750301604,0.22633315372745286,0.09885623961129905,"1.03 (0.85, 1.25)",0.8511056947259223,1.2539933682595077,H7
h_ge65,Conditional,1.6041104962315032e-4,0.0027175384344265484,0.09824251400947186,6480,0.0028939905890120136,0.06097191720506071,58.06894103883668,2420.9332040785707,1731.7344118108713,-0.0072481023113640936,0.20373313033030782,0.05379582315581772,"1.10 (0.99, 1.23)",0.9927781018338641,1.2259709353372914,H7
h_heavydrinker,Conditional,1.0318984287668762e-5,0.0034133105354456007,0.11911239086501232,6480,0.0034246614181620365,0.0033144539942659454,8688.597314347193,819253.9027684403,6406.043936311386,0.004413939763037569,0.2338108419669871,0.05852060678224412,"1.13 (1.00, 1.26)",1.0044236955436816,1.2634054863068598,H7
h_hukou,Conditional,4.4429876084337727e-4,0.004714638599619376,-0.016954654219562867,6480,0.005203367236547091,0.09392545532727593,34.739499016854055,1020.1778530908716,869.1178095823491,-0.15850335362648427,0.12459404518735849,0.07213436931551485,"0.98 (0.85, 1.13)",0.8534201017338794,1.1326885393572745,H7
